Branch,Department,Designation,Employee,"Target Rating","Overall Rating","Appraisal Date",Remarks,Competent
"Creative Hospitality Services",Facility,"Facility Manager","Faisal Hejali","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 5, Consistency = 4, Leadership = 3, Team Work = 2, Initiative and Innovation = 1 | Overall = 8.0","Quality of Work = 3, Attendence & Punctuality = 4 | Overall = 3.5",2025-06,"Quality of Work Remark:  | Attendence & Punctuality Remark:  | Reliability/Dependability Remark:  | Judgement & Decision-making Remark: ",Competent
"Creative Hospitality Services",Facility,"Facility Manager","Faisal Hejali","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 5, Consistency = 4, Leadership = 3, Team Work = 2, Initiative and Innovation = 1 | Overall = 8.0","Quality of Work = 3, Attendence & Punctuality = 4 | Overall = 3.5",2025-06,"Quality of Work Remark:  | Attendence & Punctuality Remark:  | Reliability/Dependability Remark:  | Judgement & Decision-making Remark: ",Competent
"Creative Hospitality Services",Facility,"Facility Manager","Faisal Hejali","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 5, Consistency = 4, Leadership = 3, Team Work = 2, Initiative and Innovation = 1 | Overall = 8.0","Quality of Work = 3, Attendence & Punctuality = 4 | Overall = 3.5",2025-06,"Quality of Work Remark:  | Attendence & Punctuality Remark:  | Reliability/Dependability Remark:  | Judgement & Decision-making Remark: ",Competent
"Creative Hospitality Services",Facility,"Facility Manager","Faisal Hejali","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 5, Consistency = 4, Leadership = 3, Team Work = 2, Initiative and Innovation = 1 | Overall = 8.0","Quality of Work = 3, Attendence & Punctuality = 4 | Overall = 3.5",2025-06,"Quality of Work Remark:  | Attendence & Punctuality Remark:  | Reliability/Dependability Remark:  | Judgement & Decision-making Remark: ",Competent
"Creative Hospitality Services",Facility,"Facility Manager","Faisal Hejali","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 5, Consistency = 4, Leadership = 3, Team Work = 2, Initiative and Innovation = 1 | Overall = 8.0","Quality of Work = 3, Attendence & Punctuality = 3, Reliability/Dependability = 3, Judgement & Decision-making = 3 | Overall = 3.0",2026-02,"Quality of Work Remark:  | Attendence & Punctuality Remark:  | Reliability/Dependability Remark:  | Judgement & Decision-making Remark: ",Competent
"Creative Hospitality Services",Facility,"Facility Manager","Faisal Hejali","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 5, Consistency = 4, Leadership = 3, Team Work = 2, Initiative and Innovation = 1 | Overall = 8.0","Quality of Work = 3, Attendence & Punctuality = 4 | Overall = 3.5",2025-06,"Quality of Work Remark:  | Attendence & Punctuality Remark:  | Reliability/Dependability Remark:  | Judgement & Decision-making Remark:  | Consistency Remark:  | Leadership Remark:  | Team Work Remark:  | Initiative and Innovation Remark: ",
"Creative Hospitality Services",Facility,"Facility Manager","Faisal Hejali","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 5, Consistency = 4, Leadership = 3, Team Work = 2, Initiative and Innovation = 1 | Overall = 8.0","Quality of Work = 3, Attendence & Punctuality = 4, Reliability/Dependability = 3, Judgement & Decision-making = 4 | Overall = 3.5",2025-06,"Quality of Work Remark:  | Attendence & Punctuality Remark:  | Reliability/Dependability Remark:  | Judgement & Decision-making Remark:  | Consistency Remark:  | Leadership Remark:  | Team Work Remark:  | Initiative and Innovation Remark: ",
"Creative Hospitality Services",Facility,"Facility Manager","Faisal Hejali","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 5, Consistency = 4, Leadership = 3, Team Work = 2, Initiative and Innovation = 1 | Overall = 8.0","Quality of Work = 3, Attendence & Punctuality = 4 | Overall = 3.5",2025-06,"Quality of Work Remark:  | Attendence & Punctuality Remark:  | Reliability/Dependability Remark:  | Judgement & Decision-making Remark:  | Consistency Remark:  | Leadership Remark:  | Team Work Remark:  | Initiative and Innovation Remark: ",
"Creative Hospitality Services",Facility,"Facility Manager","Faisal Hejali","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 5, Consistency = 4, Leadership = 3, Team Work = 2, Initiative and Innovation = 1 | Overall = 8.0","Quality of Work = 3, Attendence & Punctuality = 4 | Overall = 3.5",2025-06,"Quality of Work Remark:  | Attendence & Punctuality Remark:  | Reliability/Dependability Remark:  | Judgement & Decision-making Remark:  | Consistency Remark:  | Leadership Remark:  | Team Work Remark:  | Initiative and Innovation Remark: ",
"Creative Hospitality Services",Facility,"Facility Manager","Faisal Hejali","Quality of Work = 2, Attendence & Punctuality = 3, Reliability/Dependability = 4, Judgement & Decision-making = 5, Consistency = 4, Leadership = 3, Team Work = 2, Initiative and Innovation = 1 | Overall = 8.0","Quality of Work = 3, Attendence & Punctuality = 4 | Overall = 3.5",2025-06,"Quality of Work Remark:  | Attendence & Punctuality Remark:  | Reliability/Dependability Remark:  | Judgement & Decision-making Remark:  | Consistency Remark:  | Leadership Remark:  | Team Work Remark:  | Initiative and Innovation Remark: ",
Attache,"Restaurant - FOH","Head Waiter","Noor Khan",N/A,N/A,2025-06,,
Attache,"Restaurant - FOH","Head Waiter","Noor Khan",N/A,N/A,2025-06,,
Attache,"Restaurant - FOH","Head Waiter","Noor Khan",N/A,N/A,2025-06,,
Attache,"Restaurant - FOH","Head Waiter","Noor Khan",N/A,N/A,2025-06,,
Attache,"Restaurant - FOH","Head Waiter","Noor Khan",N/A,N/A,2025-06,,
Attache,"Restaurant - FOH","Head Waiter","Noor Khan",N/A,N/A,2025-06,,
Attache,"Restaurant - FOH","Head Waiter","Noor Khan",N/A,N/A,2025-06,,
Attache,"Restaurant - FOH","Head Waiter","Noor Khan",N/A,N/A,2025-06,,
Attache,"Restaurant - FOH","Head Waiter","Noor Khan",N/A,N/A,2025-06,,
Attache,"Restaurant - FOH","Head Waiter","Noor Khan",N/A,N/A,2025-06,,
Attache,Reception,"Hostess / Host","Nurzada Suleimanovaa",N/A,"Quality of Work = 5, Attendence & Punctuality = 5, Reliability/Dependability = 5, Judgement & Decision-making = 5, Consistency = 5, Leadership = 5, Team Work = 5, Initiative and Innovation = 5, Communication Skills = 5 | Overall = 5.0",2025-12,,
Attache,Prive,"Guest Relations Executive","Ziad Sayegh",N/A,"Quality of Work = 2, Attendence & Punctuality = 5, Reliability/Dependability = 1, Judgement & Decision-making = 1, Consistency = 1, Leadership = 1, Team Work = 1, Initiative and Innovation = 1, Communication Skills = 4 | Overall = 1.9",2025-11,,
Attache,Prive,"Hostess / Host","Ghofran Hamza",N/A,"Quality of Work = 4, Attendence & Punctuality = 3, Reliability/Dependability = 5, Judgement & Decision-making = 5, Consistency = 4, Leadership = 4, Team Work = 5, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 4.2",2025-11,,
Attache,Prive,"Hostess / Host","Ghofran Hamza",N/A,"Quality of Work = 4, Attendence & Punctuality = 3, Reliability/Dependability = 5, Judgement & Decision-making = 4, Consistency = 4, Leadership = 4, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 4 | Overall = 4.0",2025-10,,
Attache,Prive,Waiter,"Danilo Anastacio",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 5, Judgement & Decision-making = 3, Consistency = 4, Leadership = 4, Team Work = 4, Initiative and Innovation = 5, Communication Skills = 4 | Overall = 4.2",2025-11,,
Attache,Prive,Waiter,"Danilo Anastacio",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 5, Judgement & Decision-making = 3, Consistency = 4, Leadership = 4, Team Work = 4, Initiative and Innovation = 5, Communication Skills = 4 | Overall = 4.2",2025-10,,
"Attache Pool Club","Bar & Lounge",Bartender,"Muhammad Almutairi",N/A,"Quality of Work = 2, Attendence & Punctuality = 2, Reliability/Dependability = 2, Judgement & Decision-making = 1, Consistency = 2, Leadership = 1, Team Work = 2, Initiative and Innovation = 1, Communication Skills = 2 | Overall = 1.7",2025-11,,
"Attache Pool Club","Bar & Lounge",Barback,"John Whiezer Manreza",N/A,"Quality of Work = 4, Attendence & Punctuality = 5, Reliability/Dependability = 4, Judgement & Decision-making = 3, Consistency = 4, Leadership = 3, Team Work = 4, Initiative and Innovation = 4, Communication Skills = 3 | Overall = 3.8",2025-11,,
"Attache Pool Club","Bar & Lounge",Bartender,"Rodulfo Alfanta jr",N/A,"Quality of Work = 5, Attendence & Punctuality = 5, Reliability/Dependability = 5, Judgement & Decision-making = 4, Consistency = 5, Leadership = 3, Team Work = 5, Initiative and Innovation = 4, Communication Skills = 3 | Overall = 4.3",2025-11,,
